央视频道,#genre#

CCTV1,http://124.93.18.238:9003//hls/1/index.m3u8
CCTV2,http://124.93.18.238:9003//hls/2/index.m3u8
CCTV3,http://124.93.18.238:9003//hls/3/index.m3u8
CCTV4,http://124.93.18.238:9003//hls/4/index.m3u8
CCTV5,http://124.93.18.238:9003//hls/5/index.m3u8
CCTV5+,http://124.93.18.238:9003//hls/18/index.m3u8
CCTV6,http://124.93.18.238:9003//hls/6/index.m3u8
CCTV7,http://124.93.18.238:9003//hls/7/index.m3u8
CCTV8,http://124.93.18.238:9003//hls/8/index.m3u8
CCTV9,http://124.93.18.238:9003//hls/9/index.m3u8
CCTV10,http://124.93.18.238:9003//hls/10/index.m3u8
CCTV11,http://124.93.18.238:9003//hls/11/index.m3u8
CCTV12,http://124.93.18.238:9003//hls/12/index.m3u8
CCTV13,http://124.93.18.238:9003//hls/13/index.m3u8
CCTV14,http://124.93.18.238:9003//hls/14/index.m3u8
CCTV15,http://124.93.18.238:9003//hls/15/index.m3u8
CCTV16,http://124.93.18.238:9003//hls/16/index.m3u8
CCTV17,http://124.93.18.238:9003//hls/17/index.m3u8
CCTV1,http://tv.20191209.xyz:37377/migu/608807420.m3u8?migutoken=004b385f879c68b1898b3b528c53ce2cc69a05fc6ccef397d5ff725950f98cc37983a6c0565ab535a964de0b80663b3a394fd8a43c51d0547d2e232162525de45bdb07292d1fc1944aea97f0
CCTV2,http://tv.20191209.xyz:37377/migu/631780532.m3u8?migutoken=862217ff2cffee0a741039e700509cb8f9a8b1920fe6cee55afb89ef1551eba3ecc744e93cf8e52cd8b4bf1a27c7a074745b640058072bfa4ad145917cdeb959261218d7b78174684a74ae78
CCTV3,http://tv.20191209.xyz:37377/migu/624878271.m3u8?migutoken=6bf1444e1fd674ffdba5c57e719cecb87358abd9dfd0059ccfaceb24503ca14f393ec4b44fc2a4b2b5eded13d1f30a2052d85600414a1274345fcd95bd9848cf13bffeef1945f996928f0095
CCTV4,http://tv.20191209.xyz:37377/migu/631780421.m3u8?migutoken=40b6a739d50c9611ac1bd3d6237cc8012f7bd8bd06945da894d03e393a3af480e950d8dc5e1a28cc2b74626afd48a747c2298114358e3f95be67743f3627ea5c2b12422eb6f434b52d57ce8c
CCTV5,http://tv.20191209.xyz:37377/migu/641886683.m3u8?migutoken=81d12cec2983a402e950068a320720875c9b84d86ead50b7ee5cc3d407f55f3d85a8e298762710bc211027e047162ea27025e20dda4ac4921a6c1d8b950dbe297e15174889d5122c0e3462d0
